Horario da captura:  1:06:39 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.7'C
Horario da captura:  1:06:40 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.2'C
Horario da captura:  1:06:41 PM -03 on 16, 2018; Temperatura na CPU: 38.628; Temperatura na GPU :39.7'C
Horario da captura:  1:06:42 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :38.6'C
Horario da captura:  1:06:44 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.2'C
Horario da captura:  1:06:45 PM -03 on 16, 2018; Temperatura na CPU: 39.704; Temperatura na GPU :39.2'C
Horario da captura:  1:06:46 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.2'C
Horario da captura:  1:06:47 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.7'C
Horario da captura:  1:06:48 PM -03 on 16, 2018; Temperatura na CPU: 39.704; Temperatura na GPU :39.2'C
Horario da captura:  1:06:49 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :38.6'C
Horario da captura:  1:06:50 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :38.6'C
Horario da captura:  1:06:51 PM -03 on 16, 2018; Temperatura na CPU: 38.628; Temperatura na GPU :39.7'C
Horario da captura:  1:06:52 PM -03 on 16, 2018; Temperatura na CPU: 39.166; Temperatura na GPU :39.2'C
Horario da captura:  1:06:53 PM -03 on 16, 2018; Temperatura na CPU: 40.78; Temperatura na GPU :41.3'C
Horario da captura:  1:06:54 PM -03 on 16, 2018; Temperatura na CPU: 42.932; Temperatura na GPU :42.9'C
Horario da captura:  1:06:55 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  1:06:56 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  1:06:57 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  1:06:58 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :45.6'C
Horario da captura:  1:06:59 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  1:07:00 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.8'C
Horario da captura:  1:07:01 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  1:07:02 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:03 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:04 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:05 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:06 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :48.9'C
Horario da captura:  1:07:07 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:08 PM -03 on 16, 2018; Temperatura na CPU: 48.312; Temperatura na GPU :48.3'C
Horario da captura:  1:07:09 PM -03 on 16, 2018; Temperatura na CPU: 48.85; Temperatura na GPU :48.3'C
Horario da captura:  1:07:10 PM -03 on 16, 2018; Temperatura na CPU: 48.85; Temperatura na GPU :48.3'C
Horario da captura:  1:07:11 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.2'C
Horario da captura:  1:07:12 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  1:07:13 PM -03 on 16, 2018; Temperatura na CPU: 48.85; Temperatura na GPU :48.9'C
Horario da captura:  2:01:39 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :48.3'C
Horario da captura:  2:01:40 PM -03 on 16, 2018; Temperatura na CPU: 47.774; Temperatura na GPU :47.8'C
Horario da captura:  2:01:41 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:01:42 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:01:43 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :47.2'C
Horario da captura:  2:01:44 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.7'C
Horario da captura:  2:01:45 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :46.2'C
Horario da captura:  2:01:46 PM -03 on 16, 2018; Temperatura na CPU: 47.236; Temperatura na GPU :46.7'C
Horario da captura:  2:01:47 PM -03 on 16, 2018; Temperatura na CPU: 46.16; Temperatura na GPU :46.2'C
Horario da captura:  2:01:48 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.5'C
Horario da captura:  2:01:49 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :43.5'C
Horario da captura:  2:01:50 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  2:01:51 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:01:52 PM -03 on 16, 2018; Temperatura na CPU: 43.47; Temperatura na GPU :43.5'C
