Horario da captura:  2:32:39 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:32:40 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:32:41 PM -03 on 16         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  2:32:42 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.9'C
Horario da captura:  2:32:43 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  2:32:44 PM -03 on 16         , 2018; Temperatura na CPU: 49.925; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:45 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  2:32:46 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:47 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:48 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:49 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:50 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:51 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:52 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:54 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:55 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:56 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:57 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:58 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:32:59 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:33:00 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:01 PM -03 on 16         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:02 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:03 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:04 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  2:33:05 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:06 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :49.4'C
Horario da captura:  2:33:07 PM -03 on 16         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:09 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  2:33:10 PM -03 on 16         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
