Horario da captura:  7:45:13 PM -03 on 17         , 2018; Temperatura na CPU: 53.154; Temperatura na GPU         :53.7'C
Horario da captura:  7:45:15 PM -03 on 17         , 2018; Temperatura na CPU: 51.54; Temperatura na GPU         :52.1'C
Horario da captura:  7:45:16 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  7:45:17 PM -03 on 17         , 2018; Temperatura na CPU: 50.464; Temperatura na GPU         :50.5'C
Horario da captura:  7:45:18 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.9'C
Horario da captura:  7:45:19 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  7:45:20 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  7:45:21 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  7:45:22 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  7:45:23 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  7:45:24 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  7:45:25 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :48.9'C
Horario da captura:  7:45:26 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:27 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:29 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:30 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:31 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:32 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  7:45:33 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:34 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:35 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:36 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:37 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:38 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:39 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  7:45:40 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:41 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:43 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:44 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:45 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:46 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:45:47 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:48 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:49 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:50 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:51 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:45:52 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:53 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:54 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:55 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:45:57 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:45:58 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:45:59 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:00 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:01 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:02 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:03 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:04 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:05 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:06 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:07 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:08 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:09 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:11 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:12 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:13 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:14 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:15 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:16 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:17 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:18 PM -03 on 17         , 2018; Temperatura na CPU: 46.698; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:19 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:20 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:21 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :47.2'C
Horario da captura:  7:46:22 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:23 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  7:46:25 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  7:46:26 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
