Horario da captura:  8:15:52 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  8:15:53 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  8:15:54 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :46.2'C
Horario da captura:  8:15:55 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:15:56 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  8:15:57 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:15:58 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.7'C
Horario da captura:  8:15:59 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:00 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:01 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:03 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:04 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:05 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:06 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:07 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:08 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:09 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:10 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:11 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:12 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:13 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:14 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:15 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.1'C
Horario da captura:  8:16:16 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:18 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:19 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.1'C
Horario da captura:  8:16:20 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:21 PM -03 on 17         , 2018; Temperatura na CPU: 45.084; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:22 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:23 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:24 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:25 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:26 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:27 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:28 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
Horario da captura:  8:16:29 PM -03 on 17         , 2018; Temperatura na CPU: 46.16; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:30 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :46.2'C
Horario da captura:  8:16:31 PM -03 on 17         , 2018; Temperatura na CPU: 45.622; Temperatura na GPU         :45.6'C
