Horario da captura:  7:27:36 PM -03 on 17         , 2018; Temperatura na CPU: 49.388; Temperatura na GPU         :49.4'C
Horario da captura:  7:27:37 PM -03 on 17         , 2018; Temperatura na CPU: 48.85; Temperatura na GPU         :48.9'C
Horario da captura:  7:27:39 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.9'C
Horario da captura:  7:27:40 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  7:27:41 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:27:42 PM -03 on 17         , 2018; Temperatura na CPU: 48.312; Temperatura na GPU         :48.3'C
Horario da captura:  7:27:43 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :48.3'C
Horario da captura:  7:27:44 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:45 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:46 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:47 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.2'C
Horario da captura:  7:27:48 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:49 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:50 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:27:51 PM -03 on 17         , 2018; Temperatura na CPU: 47.774; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:52 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.8'C
Horario da captura:  7:27:54 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:27:55 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
Horario da captura:  7:27:56 PM -03 on 17         , 2018; Temperatura na CPU: 47.236; Temperatura na GPU         :47.2'C
